Age,Income,Eco_Awareness,Event_Frequency,Online_Shopper,Preferred_Product,Monthly_Spend,Purchase_Intent
52,Low,2,3,0,Combo Pack,428.37,0
31,Medium,4,8,0,Plates,1009.29,1
34,Medium,3,6,1,Plates,687.67,1
53,Medium,1,1,0,Combo Pack,286.76,0
57,Medium,5,3,0,Spoons,750.32,0
21,Medium,5,4,1,Trays,707.59,1
19,High,1,2,1,Combo Pack,197.77,0
23,Low,1,8,0,Bowls,571.05,0
59,Low,5,4,0,Combo Pack,852.81,0
21,Medium,3,1,1,Plates,489.41,0
46,Medium,5,2,1,Trays,745.7,1
35,Low,1,8,1,Bowls,550.65,1
43,Low,4,6,1,Trays,880.79,1
51,Low,2,1,0,Trays,301.76,0
27,High,4,8,0,Bowls,910.64,1
53,Low,4,3,0,Combo Pack,649.48,0
31,Low,1,8,0,Combo Pack,591.31,0
48,Low,5,1,1,Combo Pack,716.93,1
32,Low,3,9,0,Spoons,814.74,0
25,Low,4,3,0,Combo Pack,582.52,0
31,Medium,5,4,1,Bowls,801.0,1
40,Low,3,1,0,Spoons,430.01,0
57,High,4,9,0,Combo Pack,1118.87,1
38,Low,3,0,0,Spoons,433.83,0
33,Medium,5,6,1,Bowls,879.53,1
35,High,2,9,1,Combo Pack,697.19,1
41,Medium,5,0,0,Plates,505.99,0
43,Medium,1,7,1,Bowls,498.74,1
42,Low,3,2,1,Trays,505.75,0
58,Low,2,9,1,Trays,821.37,1
46,Medium,3,5,1,Bowls,706.08,1
32,High,3,6,1,Trays,711.45,1
18,Medium,4,9,1,Bowls,933.84,1
42,Medium,1,0,0,Plates,213.44,0
24,Medium,3,5,0,Bowls,624.07,0
26,Medium,5,6,0,Combo Pack,985.92,1
41,Low,5,5,1,Combo Pack,840.54,1
18,Medium,4,3,1,Spoons,645.68,1
25,High,1,0,1,Trays,89.21,0
41,Low,1,8,0,Trays,590.23,0
28,Medium,5,3,1,Bowls,791.82,1
34,Low,2,6,1,Trays,546.61,1
25,Medium,4,6,1,Combo Pack,762.46,1
52,Low,4,1,1,Plates,589.64,1
52,Medium,5,0,1,Bowls,526.17,1
50,Medium,5,7,1,Trays,1002.89,1
22,Low,2,7,1,Combo Pack,623.39,1
59,Medium,2,6,1,Spoons,580.57,1
56,Medium,1,7,0,Trays,493.81,0
58,High,4,2,0,Plates,618.9,0
45,Low,4,1,1,Plates,672.99,1
24,Low,5,6,0,Trays,939.07,1
26,Low,1,7,1,Trays,506.79,1
25,High,4,0,0,Combo Pack,556.78,0
29,High,1,9,1,Trays,634.17,1
51,Medium,1,8,0,Spoons,668.72,0
50,High,5,3,0,Combo Pack,790.33,0
40,Medium,1,3,1,Bowls,202.84,0
41,Medium,2,2,0,Spoons,349.8,0
54,Low,2,5,0,Combo Pack,597.22,0
52,Medium,3,0,0,Combo Pack,407.58,0
57,Low,5,5,1,Plates,798.81,1
39,High,3,1,0,Combo Pack,418.32,0
44,Medium,2,8,1,Spoons,604.69,1
52,Medium,3,1,1,Trays,445.58,0
18,Low,5,6,1,Spoons,1010.53,1
52,Low,5,0,1,Bowls,640.25,1
54,Low,1,6,1,Combo Pack,609.52,1
31,Low,4,4,0,Combo Pack,744.12,0
20,Low,1,7,1,Combo Pack,601.37,1
18,High,5,3,0,Combo Pack,848.7,0
22,Medium,2,9,1,Plates,768.86,1
43,Low,2,6,0,Plates,590.64,0
31,Low,1,5,1,Trays,501.63,1
56,Medium,5,4,0,Combo Pack,872.69,0
44,Medium,2,3,0,Bowls,426.0,0
26,Medium,5,6,1,Trays,863.92,1
32,High,2,4,1,Combo Pack,506.94,0
32,Medium,5,4,0,Plates,841.57,0
43,High,3,0,1,Bowls,439.9,0
59,High,5,1,1,Trays,578.79,1
30,Low,5,4,1,Bowls,895.58,1
49,High,1,2,1,Combo Pack,267.94,0
56,Low,3,1,0,Spoons,436.75,0
49,High,4,3,0,Bowls,604.87,0
21,Low,1,3,1,Bowls,484.92,0
47,High,4,3,1,Plates,662.1,1
54,High,2,3,0,Combo Pack,407.45,0
40,High,4,2,0,Bowls,643.2,0
56,Medium,5,6,1,Combo Pack,938.46,1
32,Low,4,8,0,Plates,890.61,1
46,Low,1,4,0,Combo Pack,442.03,0
53,Medium,1,3,0,Plates,308.74,0
30,Low,4,1,0,Plates,525.35,0
49,Medium,1,1,0,Trays,149.49,0
24,Low,1,4,1,Combo Pack,333.8,0
39,High,4,6,0,Spoons,890.38,1
45,Medium,3,9,0,Trays,932.07,0
19,High,3,9,0,Plates,853.29,0
59,Low,2,8,0,Spoons,783.15,0
23,High,1,6,0,Bowls,492.0,0
45,High,4,4,0,Bowls,687.83,0
45,Medium,1,9,1,Trays,652.83,1
37,Medium,5,9,0,Spoons,1043.75,1
47,Medium,1,9,0,Combo Pack,639.24,0
28,Low,1,5,0,Spoons,507.17,0
45,Medium,3,2,1,Trays,507.51,0
42,Low,4,4,1,Combo Pack,735.62,1
56,Low,1,7,0,Combo Pack,601.57,0
50,Low,3,0,1,Bowls,419.41,0
18,Low,2,0,0,Spoons,251.49,0
44,Low,3,6,1,Combo Pack,632.36,1
30,Low,3,4,0,Trays,607.44,0
58,High,3,4,1,Bowls,591.44,0
20,Medium,1,0,1,Combo Pack,204.37,0
56,High,1,8,0,Spoons,599.2,0
23,Medium,2,0,1,Bowls,429.18,0
25,Low,5,4,1,Spoons,733.49,1
44,Medium,5,9,0,Spoons,950.5,1
26,Medium,5,8,0,Spoons,1016.62,1
54,Low,2,3,0,Bowls,431.18,0
50,Medium,5,7,1,Combo Pack,965.8,1
59,Low,5,5,1,Plates,879.19,1
41,Medium,3,2,0,Combo Pack,564.21,0
32,Medium,1,3,1,Bowls,274.64,0
49,Low,1,1,1,Plates,222.16,0
49,Low,3,0,1,Plates,421.44,0
41,Medium,3,7,1,Plates,788.52,1
58,Medium,3,0,1,Trays,509.67,0
29,Low,1,0,0,Bowls,247.79,0
56,High,5,3,0,Trays,747.16,0
19,Low,3,9,1,Plates,805.48,1
20,Medium,2,9,0,Trays,721.79,0
54,High,3,5,1,Trays,620.36,1
34,Low,4,8,0,Bowls,932.76,1
19,Low,3,0,0,Spoons,412.85,0
19,Low,1,6,1,Trays,433.82,1
45,Low,3,9,1,Trays,828.2,1
40,Low,4,4,0,Plates,743.88,0
54,Medium,2,7,1,Plates,667.58,1
49,Low,5,6,1,Plates,928.43,1
50,Medium,3,3,1,Combo Pack,569.15,0
18,High,4,3,0,Trays,731.32,0
36,High,4,5,1,Plates,761.8,1
19,Medium,2,5,1,Bowls,530.7,1
43,Low,1,8,0,Combo Pack,554.21,0
49,Medium,3,4,1,Spoons,612.48,0
23,Medium,4,7,1,Trays,727.96,1
49,Medium,2,4,1,Trays,490.79,0
21,Low,5,1,1,Bowls,639.71,1
28,High,4,5,0,Spoons,681.78,1
34,Medium,2,8,0,Spoons,653.59,0
55,Low,1,2,1,Combo Pack,340.48,0
41,Low,1,0,1,Trays,211.54,0
22,Medium,4,0,1,Plates,505.09,1
51,High,4,2,1,Bowls,615.32,1
23,Medium,3,9,0,Bowls,854.63,0
39,Medium,2,4,0,Bowls,562.14,0
28,Low,4,2,0,Bowls,606.17,0
33,Medium,3,8,0,Plates,727.09,0
50,Medium,3,7,1,Plates,831.51,1
26,Low,4,2,0,Combo Pack,618.52,0
23,Low,1,8,1,Trays,570.54,1
33,Medium,2,5,0,Plates,487.33,0
46,Low,2,6,1,Combo Pack,619.8,1
20,Medium,1,3,1,Spoons,344.14,0
37,Low,4,3,0,Trays,728.71,0
53,Low,2,1,0,Plates,332.7,0
36,Low,4,4,0,Spoons,658.13,0
43,High,4,7,1,Combo Pack,894.79,1
20,High,3,6,0,Plates,746.26,0
36,High,1,6,1,Plates,508.43,1
37,Medium,4,5,1,Spoons,783.82,1
49,Low,5,2,1,Plates,698.12,1
24,Medium,1,4,0,Bowls,411.69,0
58,Medium,2,0,1,Plates,358.25,0
50,High,3,6,0,Trays,731.27,0
57,Low,2,8,0,Spoons,691.54,0
56,Medium,2,0,1,Trays,367.62,0
35,Low,1,1,1,Combo Pack,131.76,0
57,Low,2,2,0,Trays,502.6,0
18,Medium,4,2,0,Bowls,514.7,0
28,Medium,2,7,0,Bowls,618.65,0
45,Low,3,6,1,Trays,697.95,1
42,Low,3,5,0,Combo Pack,642.68,0
40,Medium,5,9,1,Plates,1100.32,1
48,Medium,3,9,1,Bowls,797.11,1
47,High,2,3,1,Trays,463.04,0
59,High,3,8,0,Trays,771.09,0
52,Medium,1,0,1,Trays,214.76,0
24,Low,3,1,1,Plates,446.76,0
33,Medium,4,3,1,Spoons,654.65,1
43,Medium,1,2,0,Combo Pack,272.5,0
19,Low,5,0,0,Spoons,574.5,0
18,High,4,4,0,Combo Pack,714.36,0
29,Low,2,6,1,Combo Pack,647.19,1
22,High,2,1,1,Trays,320.09,0
54,Medium,2,4,1,Bowls,456.56,0
49,Medium,4,5,0,Trays,780.67,1
26,Medium,4,6,0,Plates,798.37,1
58,High,4,0,0,Combo Pack,541.52,0
52,Medium,1,6,0,Bowls,454.71,0
36,Medium,1,3,0,Combo Pack,261.03,0
33,Low,2,7,1,Combo Pack,623.35,1
20,Medium,3,3,1,Trays,511.68,0
37,Low,2,5,1,Bowls,546.06,1
41,Medium,5,8,0,Bowls,968.16,1
50,Medium,1,4,0,Combo Pack,437.05,0
41,Medium,4,3,0,Bowls,635.59,0
28,Low,1,7,1,Bowls,557.52,1
25,Low,4,8,0,Trays,907.88,1
53,Medium,5,3,1,Spoons,759.75,1
55,Low,5,2,0,Plates,698.79,0
57,Low,1,7,1,Spoons,575.53,1
37,Low,4,4,1,Bowls,660.22,1
52,High,5,1,0,Combo Pack,719.97,0
42,Medium,2,9,1,Plates,738.17,1
52,Low,2,8,0,Plates,634.42,0
42,Low,4,2,1,Combo Pack,609.4,1
46,Low,1,1,0,Plates,207.44,0
35,Medium,5,0,0,Combo Pack,633.27,0
35,Medium,1,7,1,Plates,660.48,1
19,Low,2,2,1,Spoons,360.67,0
52,Low,5,6,0,Plates,916.62,1
33,Low,1,0,1,Trays,112.22,0
58,Medium,3,0,0,Combo Pack,422.7,0
53,Medium,4,8,0,Plates,855.71,1
50,Low,4,7,1,Combo Pack,818.76,1
21,Low,3,2,0,Trays,444.94,0
50,Low,2,5,0,Plates,586.61,0
31,High,5,2,1,Plates,750.37,1
38,Low,4,3,0,Trays,651.17,0
37,Medium,3,0,1,Trays,356.78,0
25,Medium,3,4,0,Trays,679.48,0
24,Low,2,0,0,Combo Pack,262.48,0
20,Low,2,0,0,Trays,191.9,0
34,Low,1,9,1,Combo Pack,672.92,1
50,Medium,4,6,1,Spoons,744.76,1
29,Medium,1,5,0,Plates,499.43,0
39,Medium,3,1,0,Plates,430.94,0
39,Medium,5,1,1,Bowls,680.19,1
47,Low,5,6,0,Spoons,970.08,1
55,High,2,0,1,Trays,239.56,0
55,Medium,5,1,0,Trays,621.7,0
25,Low,5,7,1,Spoons,946.22,1
44,High,5,5,0,Trays,926.88,1
44,Medium,3,1,1,Bowls,417.08,0
51,Medium,5,6,1,Combo Pack,870.27,1
38,Medium,5,3,0,Plates,773.91,0
47,High,5,1,0,Spoons,621.14,0
50,Medium,1,5,1,Plates,457.63,1
45,Low,3,8,1,Combo Pack,722.42,1
50,Low,2,8,0,Spoons,810.72,0
22,High,1,7,0,Combo Pack,482.61,0
36,Low,4,2,1,Trays,583.91,1
21,Low,3,2,0,Trays,498.38,0
52,Medium,3,1,1,Trays,545.63,0
34,Medium,4,4,0,Combo Pack,633.76,0
45,Medium,4,3,1,Combo Pack,749.19,1
47,High,4,6,1,Combo Pack,837.86,1
46,Low,2,3,1,Plates,470.85,0
23,Low,5,8,0,Combo Pack,950.77,1
52,Low,3,1,1,Trays,478.56,0
58,High,5,5,0,Bowls,813.83,1
54,Medium,5,6,1,Combo Pack,963.33,1
41,Low,4,3,1,Bowls,601.45,1
46,High,2,5,0,Trays,544.34,0
48,High,1,6,1,Combo Pack,472.24,1
52,High,2,3,0,Plates,400.62,0
50,High,5,7,1,Plates,987.07,1
38,Low,2,8,1,Bowls,726.77,1
49,Medium,4,0,1,Plates,560.45,1
40,Medium,1,6,0,Plates,411.01,0
50,High,4,8,0,Plates,953.21,1
20,Medium,1,9,1,Trays,775.27,1
35,Medium,5,4,0,Plates,777.42,0
42,Medium,1,1,0,Spoons,344.76,0
59,Low,1,9,0,Combo Pack,636.84,0
48,Medium,1,5,0,Plates,381.38,0
20,High,2,6,1,Plates,584.72,1
57,High,2,1,0,Plates,402.41,0
41,Low,5,1,1,Spoons,608.09,1
49,Low,1,9,0,Plates,619.98,0
39,Low,3,9,0,Plates,879.68,0
40,Medium,5,0,0,Combo Pack,600.15,0
19,High,1,3,0,Spoons,379.23,0
44,Low,1,6,0,Spoons,511.89,0
59,Medium,2,8,1,Plates,723.98,1
19,High,5,2,0,Spoons,678.38,0
43,Medium,1,6,0,Bowls,511.59,0
34,Medium,1,6,0,Spoons,453.63,0
57,Medium,5,6,0,Spoons,964.42,1
50,Medium,3,1,1,Spoons,418.29,0
26,Low,5,5,1,Trays,906.44,1
56,Medium,5,1,0,Trays,638.32,0
46,Medium,3,5,0,Trays,660.1,0
59,High,5,9,1,Spoons,1025.25,1
43,Medium,1,2,0,Bowls,249.2,0
52,Medium,5,1,1,Spoons,562.76,1
42,Low,3,5,0,Plates,597.23,0
41,Medium,4,1,1,Bowls,533.8,1
30,Low,5,4,1,Trays,810.59,1
24,Low,2,1,1,Combo Pack,400.52,0
53,Medium,1,2,0,Bowls,277.71,0
37,High,1,2,0,Trays,255.9,0
18,Low,2,5,0,Bowls,477.86,0
25,Medium,2,5,0,Bowls,574.0,0
33,High,5,9,0,Spoons,1119.16,1
31,Low,2,2,0,Plates,463.32,0
29,Medium,4,2,1,Combo Pack,635.5,1
40,Medium,3,0,1,Trays,431.93,0
32,Medium,2,6,0,Bowls,684.88,0
45,Low,2,7,0,Combo Pack,666.6,0
51,Low,4,1,1,Bowls,582.31,1
19,Medium,1,3,0,Plates,333.96,0
49,Medium,1,9,1,Combo Pack,581.9,1
40,Low,5,6,0,Trays,865.81,1
39,Medium,4,7,0,Bowls,849.54,1
42,Low,3,0,0,Plates,403.04,0
39,Medium,3,3,0,Combo Pack,646.31,0
39,Low,4,5,1,Bowls,754.06,1
59,High,3,2,1,Bowls,558.94,0
23,Low,1,4,0,Trays,378.25,0
32,Low,3,9,1,Plates,834.42,1
54,Low,3,8,0,Spoons,733.55,0
50,Low,4,2,1,Bowls,562.88,1
25,High,4,4,1,Combo Pack,726.35,1
22,High,3,7,0,Trays,750.38,0
56,Low,2,5,0,Trays,597.15,0
21,Medium,4,3,0,Bowls,659.06,0
23,Medium,5,7,1,Bowls,932.38,1
49,High,5,2,1,Bowls,807.41,1
47,Medium,1,2,1,Spoons,295.3,0
52,Low,3,3,1,Bowls,608.15,0
57,Medium,2,8,0,Plates,679.94,0
33,Medium,1,4,0,Combo Pack,435.48,0
30,Low,3,7,1,Bowls,796.4,1
59,Medium,4,5,0,Spoons,760.42,1
47,Low,5,2,1,Combo Pack,582.28,1
36,Medium,2,7,0,Trays,650.91,0
34,Low,5,8,0,Bowls,1061.52,1
36,Medium,4,7,0,Combo Pack,876.37,1
45,Medium,3,3,1,Trays,572.29,0
43,Medium,4,5,0,Spoons,663.89,1
54,Low,4,0,1,Plates,463.98,1
43,Medium,5,3,0,Bowls,770.57,0
40,Medium,2,7,1,Plates,670.52,1
26,Medium,4,0,1,Spoons,560.73,1
29,Medium,5,2,0,Combo Pack,692.76,0
18,Medium,2,0,1,Combo Pack,320.29,0
18,High,3,8,0,Spoons,800.82,0
51,Low,3,1,0,Spoons,400.65,0
49,High,1,8,0,Bowls,487.21,0
42,Medium,5,3,1,Trays,771.55,1
57,Low,2,1,1,Plates,358.7,0
18,Low,4,3,1,Plates,619.09,1
33,Low,3,9,1,Combo Pack,769.04,1
56,Medium,2,5,1,Combo Pack,581.49,1
22,Medium,5,6,0,Bowls,886.7,1
39,Medium,1,2,1,Spoons,327.84,0
46,Medium,3,2,0,Plates,593.2,0
20,Medium,2,9,1,Bowls,642.93,1
29,Low,2,7,1,Combo Pack,615.02,1
43,Low,2,4,1,Combo Pack,489.53,0
33,Medium,5,3,1,Plates,822.74,1
54,Low,5,6,0,Combo Pack,818.18,1
39,Low,5,6,1,Combo Pack,996.79,1
46,Medium,4,8,0,Trays,906.79,1
31,Medium,2,8,1,Spoons,695.2,1
45,High,3,4,1,Combo Pack,590.1,0
22,High,5,7,1,Trays,928.19,1
47,Medium,5,9,1,Bowls,1102.41,1
22,Medium,2,0,0,Combo Pack,246.57,0
29,Medium,5,8,0,Bowls,1017.27,1
33,Medium,4,7,1,Combo Pack,830.79,1
43,Low,4,5,0,Plates,711.89,1
43,Medium,5,2,0,Trays,829.3,0
38,High,2,2,1,Trays,420.95,0
56,Low,2,7,1,Plates,680.66,1
53,Medium,2,4,1,Spoons,556.89,0
50,Medium,1,9,0,Trays,578.93,0
47,Low,5,6,1,Bowls,987.61,1
54,Low,2,4,0,Trays,374.55,0
40,Low,4,7,1,Spoons,811.56,1
27,Low,3,9,0,Bowls,827.05,0
22,Low,3,9,1,Bowls,879.09,1
53,High,2,3,0,Plates,460.94,0
51,Low,3,1,0,Combo Pack,441.66,0
48,Medium,3,2,1,Plates,499.4,0
27,Low,1,7,1,Combo Pack,501.1,1
36,High,4,6,0,Plates,725.14,1
49,Low,4,1,1,Combo Pack,586.33,1
18,Medium,1,5,0,Trays,484.69,0
22,High,1,8,1,Bowls,679.22,1
21,High,3,3,1,Combo Pack,510.5,0
33,Low,5,8,0,Trays,1034.64,1
41,High,3,1,1,Spoons,435.81,0
33,Medium,1,1,0,Plates,309.52,0
19,Medium,4,8,0,Spoons,951.1,1
45,Low,3,6,1,Trays,710.56,1
49,Low,5,6,1,Spoons,883.02,1
44,Medium,3,0,0,Spoons,448.05,0
37,Medium,2,5,0,Trays,582.35,0
41,Medium,3,6,0,Bowls,665.78,0
29,Medium,1,5,1,Combo Pack,383.61,1
52,Medium,4,5,0,Plates,735.57,1
50,Low,4,1,0,Combo Pack,625.77,0
50,Medium,1,5,0,Plates,507.32,0
54,Low,2,3,0,Combo Pack,394.38,0
29,Medium,1,8,0,Spoons,541.61,0
20,Medium,3,0,0,Bowls,463.73,0
18,High,1,7,0,Spoons,493.22,0
50,Low,1,4,0,Bowls,425.46,0
57,Low,2,0,1,Trays,269.2,0
27,Low,3,3,0,Plates,630.85,0
46,Low,5,0,1,Plates,561.48,1
30,Low,5,5,1,Trays,907.17,1
29,High,4,1,1,Combo Pack,559.24,1
48,Low,1,4,1,Trays,412.61,0
19,Low,4,6,0,Trays,701.48,1
52,Medium,2,1,0,Bowls,239.85,0
40,Medium,5,5,0,Trays,838.97,1
34,Medium,1,5,0,Plates,462.35,0
43,Low,2,4,1,Spoons,443.74,0
25,Medium,2,4,1,Bowls,445.57,0
46,Low,1,2,1,Bowls,328.07,0
43,Low,2,9,0,Combo Pack,778.14,0
27,High,1,9,1,Spoons,643.11,1
43,Low,1,1,0,Bowls,289.01,0
51,Medium,3,6,0,Trays,641.29,0
58,Medium,4,0,0,Bowls,482.2,0
24,Low,2,5,1,Bowls,632.39,1
21,High,2,5,0,Bowls,553.42,0
28,Low,3,2,1,Combo Pack,506.32,0
46,Medium,3,1,1,Bowls,565.3,0
53,High,3,1,1,Bowls,380.03,0
42,Medium,5,8,0,Combo Pack,1039.82,1
38,High,5,4,1,Spoons,883.2,1
53,Low,5,6,1,Plates,883.76,1
27,Medium,1,4,0,Combo Pack,442.98,0
54,Low,2,6,0,Combo Pack,550.9,0
26,Medium,4,3,0,Bowls,615.66,0
41,High,1,7,0,Bowls,569.25,0
52,Low,2,9,1,Plates,789.93,1
52,Medium,2,9,1,Bowls,806.05,1
53,Low,3,6,0,Trays,778.48,0
35,Medium,3,9,1,Bowls,846.63,1
56,Medium,1,4,1,Bowls,459.68,0
49,High,3,5,0,Trays,632.88,0
41,Medium,2,4,1,Plates,545.1,0
40,Low,3,6,1,Trays,710.37,1
49,Low,5,1,1,Combo Pack,672.28,1
54,Low,3,4,0,Trays,621.18,0
29,Low,2,9,1,Spoons,669.76,1
30,Low,1,2,0,Combo Pack,243.79,0
40,High,4,8,1,Bowls,905.13,1
42,Medium,3,5,0,Combo Pack,565.64,0
52,Medium,2,9,1,Plates,791.56,1
58,Low,4,2,0,Plates,643.58,0
47,High,4,6,0,Trays,816.36,1
34,Medium,5,3,1,Combo Pack,693.94,1
37,Low,4,2,0,Bowls,669.01,0
42,Medium,2,7,1,Plates,751.86,1
39,Medium,2,3,1,Bowls,457.35,0
30,Low,3,0,1,Spoons,425.53,0
36,Medium,3,5,0,Plates,660.09,0
53,Medium,3,9,1,Trays,876.52,1
29,Low,4,0,1,Spoons,494.02,1
58,High,4,4,1,Combo Pack,698.27,1
36,High,5,6,0,Bowls,945.29,1
29,Medium,3,5,0,Plates,767.28,0
26,Medium,1,1,1,Spoons,180.0,0
24,Medium,5,3,0,Spoons,744.81,0
45,Medium,1,1,0,Plates,190.98,0
31,Medium,4,0,0,Combo Pack,579.6,0
48,Low,5,2,1,Combo Pack,670.61,1
36,Medium,5,2,1,Trays,627.84,1
33,High,2,6,1,Combo Pack,631.91,1
22,Medium,4,0,0,Trays,587.22,0
52,Low,4,8,0,Spoons,933.18,1
29,Medium,5,5,1,Plates,860.24,1
42,Low,4,3,1,Combo Pack,670.46,1
38,Low,5,2,1,Trays,770.74,1
53,Low,2,2,1,Spoons,356.29,0
40,Low,5,1,0,Combo Pack,644.41,0
33,Medium,4,1,1,Bowls,527.37,1
56,Medium,4,9,0,Spoons,891.61,1
59,Low,5,4,0,Combo Pack,783.58,0
56,High,5,8,1,Spoons,1055.39,1
31,High,5,1,0,Plates,678.33,0
48,High,3,1,0,Plates,482.22,0
22,Low,4,5,0,Plates,757.32,1
52,Medium,4,9,0,Bowls,976.17,1
40,High,3,1,1,Plates,409.97,0
46,Medium,5,3,0,Bowls,734.52,0
28,Low,2,5,0,Plates,559.6,0
35,Low,5,4,0,Spoons,813.88,0
29,Medium,5,0,0,Combo Pack,616.01,0
26,High,3,5,0,Combo Pack,643.08,0
27,Medium,4,0,1,Plates,481.13,1
34,Medium,5,2,0,Combo Pack,857.89,0
55,Low,4,9,1,Plates,995.34,1
24,Medium,1,4,1,Plates,420.66,0
30,High,4,9,1,Trays,938.34,1
57,Low,2,4,0,Trays,477.44,0
59,Medium,2,9,0,Trays,743.46,0
26,High,5,5,1,Bowls,864.64,1
44,Low,4,9,1,Trays,855.98,1
19,Medium,5,7,1,Plates,871.53,1
22,Low,3,4,1,Spoons,568.16,0
46,Medium,2,0,1,Trays,310.36,0
54,Medium,5,4,1,Trays,788.04,1
55,Medium,3,2,1,Spoons,573.91,0
36,Medium,5,3,0,Plates,675.88,0
25,Low,4,7,1,Bowls,812.43,1
18,High,4,6,1,Trays,876.0,1
39,Medium,4,4,0,Spoons,706.56,0
34,Low,4,1,1,Plates,594.24,1
24,Medium,1,5,1,Combo Pack,552.56,1
42,Medium,3,5,1,Bowls,615.31,1
21,Low,3,9,1,Spoons,845.03,1
53,High,4,9,0,Spoons,936.38,1
23,High,1,5,1,Spoons,352.27,1
48,Low,4,8,1,Trays,884.48,1
36,High,1,7,1,Combo Pack,594.05,1
56,Low,4,7,0,Bowls,877.03,1
44,Low,2,0,0,Plates,330.95,0
27,Low,2,4,1,Plates,481.22,0
43,High,5,6,0,Combo Pack,867.2,1
36,Medium,4,5,0,Spoons,813.46,1
56,Low,3,4,1,Spoons,575.13,0
20,Medium,5,7,0,Spoons,964.7,1
30,Medium,2,2,0,Spoons,408.17,0
45,Low,4,5,0,Spoons,823.09,1
37,High,5,4,0,Combo Pack,848.57,0
45,High,4,7,1,Trays,785.24,1
25,Medium,2,3,0,Bowls,390.62,0
58,High,5,7,0,Spoons,978.95,1
56,Medium,2,9,1,Trays,746.78,1
18,High,1,1,1,Plates,227.24,0
20,Medium,2,8,1,Combo Pack,750.78,1
30,Medium,4,8,0,Trays,909.37,1
45,Low,3,9,0,Spoons,852.62,0
42,High,2,9,1,Spoons,788.99,1
50,Medium,3,5,0,Spoons,631.24,0
55,Low,1,3,1,Trays,428.43,0
23,Low,5,3,0,Spoons,710.6,0
49,Medium,5,5,0,Trays,882.85,1
38,Medium,3,4,1,Spoons,671.69,0
33,Medium,5,5,1,Plates,781.14,1
38,High,2,6,1,Plates,582.83,1
28,Low,3,6,0,Bowls,757.11,0
54,Medium,4,8,0,Spoons,957.86,1
53,Low,2,7,1,Spoons,641.43,1
52,High,2,5,1,Trays,513.27,1
36,High,2,5,0,Trays,597.8,0
37,Medium,4,4,0,Spoons,759.18,0
35,Medium,1,0,0,Bowls,141.77,0
58,Low,5,8,1,Spoons,939.8,1
31,Medium,3,8,1,Trays,811.26,1
32,High,1,8,1,Spoons,631.47,1
48,Medium,3,7,0,Trays,735.05,0
18,Low,5,9,1,Spoons,1083.96,1
20,Medium,4,2,0,Combo Pack,564.49,0
33,High,2,0,1,Trays,194.27,0
40,Low,2,7,1,Bowls,628.8,1
28,Low,4,6,0,Combo Pack,803.16,1
29,Medium,1,4,0,Spoons,386.21,0
27,High,1,9,0,Trays,592.07,0
49,Low,3,6,0,Combo Pack,609.22,0
33,Low,4,9,1,Bowls,924.3,1
25,Low,1,3,1,Trays,394.88,0
55,Low,4,8,1,Combo Pack,962.81,1
29,Medium,5,9,1,Combo Pack,1109.39,1
